,base1,pop_minus,pop_plus,distpair,ust,distpair_ust,reversible,county25,county50,county75,county100
FL congress,0.01,0.01,0.01,*-0.12,*-0.08,*-0.2,*-0.47,*0.16,*0.21,*0.22,*0.21
FL upper,-0.0,-0.01,0.01,*-0.09,*-0.03,*-0.14,*-0.33,*0.06,*0.14,*0.17,*0.2
FL lower,-0.0,-0.02,0.01,*-0.04,-0.01,*-0.08,*1.11,*-0.03,*-0.07,*-0.03,*0.06
IL congress,-0.0,-0.0,-0.0,*0.02,*0.01,*0.02,-0.01,*-0.05,*-0.18,*-0.21,*-0.21
IL upper,-0.0,0.0,0.01,*-0.02,*0.06,*0.03,*0.29,*-0.04,*-0.1,*-0.16,*-0.2
IL lower,-0.0,-0.0,0.02,0.01,*0.09,*0.1,*-0.83,*-0.1,*-0.2,*-0.33,*-0.41
MI congress,0.0,-0.0,0.0,*0.04,*0.06,*0.08,*0.12,-0.01,*-0.04,*-0.07,*-0.08
MI upper,-0.0,0.01,-0.01,*0.1,*0.05,*0.19,*0.1,-0.01,*0.05,*0.06,*0.06
MI lower,-0.02,-0.02,-0.01,0.02,-0.01,*0.06,*-0.35,*0.14,*0.28,*0.32,*0.31
NC congress,0.0,-0.0,0.0,0.01,-0.01,-0.01,*0.17,*-0.03,*-0.06,*-0.07,*-0.08
NC upper,0.02,0.01,-0.0,*0.07,*0.03,*0.1,*0.25,*0.14,*0.27,*0.31,*0.31
NC lower,0.01,0.01,-0.01,-0.01,-0.01,-0.0,*0.35,*0.16,*0.38,*0.57,*0.63
NY congress,0.0,0.0,-0.0,*0.07,*0.04,*0.12,*-0.01,*-0.04,*-0.11,*-0.12,*-0.12
NY upper,0.0,*0.02,-0.0,*0.07,*0.05,*0.14,-0.01,*0.04,-0.0,-0.01,-0.01
NY lower,-0.0,*0.05,-0.01,*0.25,*0.18,*0.45,*0.89,*-0.09,*-0.19,*-0.18,*0.05
OH congress,0.0,0.01,0.01,*-0.06,*-0.14,*-0.21,*0.09,*0.04,*0.05,*0.04,*0.04
OH upper,0.0,0.0,0.01,*0.03,-0.01,0.01,*-0.23,-0.01,-0.01,*0.02,*0.04
OH lower,0.01,0.02,-0.01,*-0.05,-0.01,*-0.04,*0.48,*0.06,*0.05,*0.11,*0.11
WI congress,-0.0,-0.01,-0.0,*0.05,*0.02,*0.09,0.01,*-0.11,*-0.23,*-0.24,*-0.24
WI upper,-0.0,-0.01,0.0,-0.01,0.01,*-0.03,*0.1,*-0.15,*-0.26,*-0.3,*-0.3
WI lower,0.01,0.02,0.01,*-0.1,*-0.05,*-0.17,*-0.34,*-0.09,*-0.17,*-0.14,*-0.12
AVERAGE,0.0,0.0,0.0,0.01,0.01,0.02,0.07,0.0,-0.01,-0.0,0.01
